City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,vernon,CA,2022-05-27 04:14:07,50.2581,-119.2691,65.23,58,100,5.39,overcast clouds,0.0,0
1,gondanglegi,ID,2022-05-27 04:14:07,-7.7479,112.0132,84.88,66,96,2.3,overcast clouds,0.0,0
2,shelburne,CA,2022-05-27 04:11:47,44.0787,-80.2041,65.75,86,100,12.71,overcast clouds,0.0,0
3,port lincoln,AU,2022-05-27 04:13:30,-34.7333,135.8667,60.37,53,67,12.59,broken clouds,0.0,0
4,rikitea,PF,2022-05-27 04:14:08,-23.1203,-134.9692,77.0,76,24,14.0,light rain,0.0,0
5,cherskiy,RU,2022-05-27 04:14:08,68.75,161.3,41.4,49,86,20.71,overcast clouds,0.0,0
6,ushuaia,AR,2022-05-27 04:11:23,-54.8,-68.3,33.46,86,100,26.46,light snow,0.0,0
7,georgetown,MY,2022-05-27 04:14:09,5.4112,100.3354,89.53,66,20,6.91,few clouds,0.0,0
8,lagoa,PT,2022-05-27 04:14:09,39.05,-27.9833,62.31,85,70,20.38,broken clouds,0.0,0
9,manjacaze,MZ,2022-05-27 04:09:21,-24.7117,33.8828,64.11,96,7,2.01,clear sky,0.0,0
10,busselton,AU,2022-05-27 04:14:10,-33.65,115.3333,67.62,47,0,9.33,clear sky,0.0,0
11,hermanus,ZA,2022-05-27 04:14:10,-34.4187,19.2345,55.8,87,10,9.82,clear sky,0.0,0
12,bilma,NE,2022-05-27 04:14:10,18.6853,12.9164,83.73,11,1,5.1,clear sky,0.0,0
13,hithadhoo,MV,2022-05-27 04:14:11,-0.6,73.0833,83.75,70,6,10.4,clear sky,0.0,0
14,olafsvik,IS,2022-05-27 04:14:11,64.8945,-23.7142,42.19,83,46,11.16,scattered clouds,0.0,0
15,hilo,US,2022-05-27 04:12:58,19.7297,-155.09,85.28,72,100,8.05,overcast clouds,0.0,0
16,dikson,RU,2022-05-27 04:14:11,73.5069,80.5464,29.26,76,5,3.42,clear sky,0.0,0
17,kidal,ML,2022-05-27 04:14:12,18.4411,1.4078,88.79,21,62,8.75,broken clouds,0.0,0
18,yamada,JP,2022-05-27 04:14:12,39.4667,141.95,59.54,99,100,14.47,light rain,0.0,0
19,mahebourg,MU,2022-05-27 04:14:13,-20.4081,57.7,74.25,70,2,4.63,clear sky,0.0,0
20,ribeira grande,PT,2022-05-27 04:14:13,38.5167,-28.7,64.47,77,80,18.81,broken clouds,0.0,0
21,tiksi,RU,2022-05-27 04:14:13,71.6872,128.8694,31.39,85,95,4.88,overcast clouds,0.0,0
22,ostersund,SE,2022-05-27 04:14:14,63.1792,14.6357,44.62,93,100,14.97,overcast clouds,0.0,0
23,torbay,CA,2022-05-27 04:14:14,47.6666,-52.7314,34.29,82,100,8.08,overcast clouds,0.0,0
24,ugoofaaru,MV,2022-05-27 04:14:15,5.6667,73.0,82.72,74,26,11.39,scattered clouds,0.0,0
25,touros,BR,2022-05-27 04:14:15,-5.1989,-35.4608,75.6,88,63,11.32,light rain,0.0,0
26,cidreira,BR,2022-05-27 04:14:16,-30.1811,-50.2056,64.42,95,100,9.98,overcast clouds,0.0,0
27,butaritari,KI,2022-05-27 04:14:16,3.0707,172.7902,81.54,68,84,4.72,broken clouds,0.0,0
28,kahului,US,2022-05-27 04:14:17,20.8947,-156.47,78.82,63,40,18.41,scattered clouds,0.0,0
29,portland,US,2022-05-27 04:14:02,45.5234,-122.6762,63.57,92,100,1.01,overcast clouds,0.0,0
30,presidencia roque saenz pena,AR,2022-05-27 04:14:18,-26.7852,-60.4388,56.21,95,100,3.98,overcast clouds,0.0,0
31,waipawa,NZ,2022-05-27 04:14:18,-41.4122,175.5153,50.59,72,76,2.77,broken clouds,0.0,0
32,albany,US,2022-05-27 04:10:31,42.6001,-73.9662,65.73,77,99,5.91,overcast clouds,0.0,0
33,pevek,RU,2022-05-27 04:14:19,69.7008,170.3133,31.75,78,100,12.26,overcast clouds,0.0,0
34,whitehaven,GB,2022-05-27 04:14:19,54.549,-3.5841,49.66,82,72,4.0,broken clouds,0.0,0
35,lebu,CL,2022-05-27 04:14:20,-37.6167,-73.65,43.12,70,100,12.3,overcast clouds,0.0,0
36,bluff,NZ,2022-05-27 04:14:20,-46.6,168.3333,49.8,73,1,3.58,clear sky,0.0,0
37,takapau,NZ,2022-05-27 04:14:21,-40.0333,176.35,49.73,80,98,1.74,overcast clouds,0.0,0
38,cape town,ZA,2022-05-27 04:11:42,-33.9258,18.4232,60.39,87,4,3.44,fog,0.0,0
39,san cristobal,VE,2022-05-27 04:14:21,7.7669,-72.225,68.18,96,100,2.91,overcast clouds,0.0,0
40,shingu,JP,2022-05-27 04:14:22,33.7333,135.9833,79.11,56,100,2.48,overcast clouds,0.0,0
41,ilulissat,GL,2022-05-27 04:14:22,69.2167,-51.1,26.62,93,100,5.75,light snow,0.0,0
42,moose factory,CA,2022-05-27 04:14:22,51.2585,-80.6094,44.13,91,98,7.56,overcast clouds,0.0,0
43,kaitangata,NZ,2022-05-27 04:14:23,-46.2817,169.8464,48.36,67,1,0.69,clear sky,0.0,0
44,ukiah,US,2022-05-27 04:11:32,39.1502,-123.2078,66.09,68,0,5.75,clear sky,0.0,0
45,pokaran,IN,2022-05-27 04:14:23,26.9167,71.9167,89.46,49,0,23.13,clear sky,0.0,0
46,vaini,TO,2022-05-27 04:14:24,-21.2,-175.2,78.96,89,75,5.75,broken clouds,0.0,0
47,mataura,NZ,2022-05-27 04:14:24,-46.1927,168.8643,49.48,77,2,1.81,clear sky,0.0,0
48,urubicha,BO,2022-05-27 04:14:24,-15.3833,-62.95,72.46,74,69,0.43,broken clouds,0.0,0
49,atuona,PF,2022-05-27 04:14:25,-9.8,-139.0333,77.94,79,33,15.37,light rain,0.0,0
50,hamilton,US,2022-05-27 04:12:34,39.1834,-84.5333,65.32,95,75,10.36,broken clouds,0.0,0
51,saint george,US,2022-05-27 04:10:51,37.1041,-113.5841,90.19,9,0,13.8,clear sky,0.0,0
52,mezen,RU,2022-05-27 04:14:25,65.8522,44.24,45.61,88,100,15.43,overcast clouds,0.0,0
53,bredasdorp,ZA,2022-05-27 04:14:26,-34.5322,20.0403,51.37,91,24,3.49,few clouds,0.0,0
54,yumen,CN,2022-05-27 04:14:26,40.2833,97.2,81.7,15,100,14.23,overcast clouds,0.0,0
55,tasiilaq,GL,2022-05-27 04:14:27,65.6145,-37.6368,32.16,66,14,3.4,few clouds,0.0,0
56,lompoc,US,2022-05-27 04:09:54,34.6391,-120.4579,60.69,74,100,5.75,overcast clouds,0.0,0
57,punta arenas,CL,2022-05-27 04:14:28,-53.15,-70.9167,37.51,65,20,23.02,few clouds,0.0,0
58,carnarvon,AU,2022-05-27 04:14:28,-24.8667,113.6333,73.78,55,100,5.77,overcast clouds,0.0,0
59,puerto ayora,EC,2022-05-27 04:14:29,-0.7393,-90.3518,71.55,88,22,3.0,few clouds,0.0,0
60,kirakira,SB,2022-05-27 04:14:29,-10.4544,161.9205,78.64,89,100,7.27,overcast clouds,0.0,0
61,norman wells,CA,2022-05-27 04:14:29,65.282,-126.8329,54.37,58,73,11.27,broken clouds,0.0,0
62,xichang,CN,2022-05-27 04:14:30,27.8964,102.2634,67.73,81,100,2.26,overcast clouds,0.0,0
63,rundu,NA,2022-05-27 04:14:30,-17.9333,19.7667,51.73,50,0,3.13,clear sky,0.0,0
64,yellowknife,CA,2022-05-27 04:14:30,62.456,-114.3525,55.56,51,39,5.01,scattered clouds,0.0,0
65,acapulco,MX,2022-05-27 04:12:24,16.8634,-99.8901,82.22,78,75,2.3,broken clouds,0.0,0
66,upernavik,GL,2022-05-27 04:14:31,72.7868,-56.1549,22.06,89,96,14.58,light snow,0.0,0
67,husavik,IS,2022-05-27 04:14:31,66.0449,-17.3389,40.15,97,100,7.61,overcast clouds,0.0,0
68,cairo,EG,2022-05-27 04:12:13,30.0626,31.2497,72.36,78,0,3.44,clear sky,0.0,0
69,alvand,IR,2022-05-27 04:14:32,36.3187,49.1678,51.06,44,0,5.73,clear sky,0.0,0
70,abu dhabi,AE,2022-05-27 04:11:01,24.4667,54.3667,89.71,53,0,5.75,clear sky,0.0,0
71,belaya gora,RU,2022-05-27 04:12:18,68.5333,146.4167,45.43,40,86,6.62,overcast clouds,0.0,0
72,avarua,CK,2022-05-27 04:14:33,-21.2078,-159.775,78.85,78,75,2.3,broken clouds,0.0,0
73,juterbog,DE,2022-05-27 04:14:33,51.9833,13.0833,58.17,92,100,1.01,moderate rain,0.0,0
74,sorland,NO,2022-05-27 04:14:34,67.667,12.6934,46.26,89,85,3.76,overcast clouds,0.0,0
75,kodiak,US,2022-05-27 04:14:34,57.79,-152.4072,58.51,51,0,4.61,clear sky,0.0,0
76,nikolskoye,RU,2022-05-27 04:14:35,59.7035,30.7861,50.72,93,100,4.79,overcast clouds,0.0,0
77,plettenberg bay,ZA,2022-05-27 04:14:35,-34.0527,23.3716,56.43,86,5,3.2,clear sky,0.0,0
78,binzhou,CN,2022-05-27 04:14:35,37.3667,118.0167,94.35,10,0,9.48,clear sky,0.0,0
79,east london,ZA,2022-05-27 04:14:36,-33.0153,27.9116,58.42,84,13,3.69,few clouds,0.0,0
80,fare,PF,2022-05-27 04:14:36,-16.7,-151.0167,80.51,72,0,14.81,light rain,0.0,0
81,barrow,US,2022-05-27 04:14:37,71.2906,-156.7887,33.82,86,100,18.41,overcast clouds,0.0,0
82,bethel,US,2022-05-27 04:14:37,41.3712,-73.414,64.63,82,100,5.75,overcast clouds,0.0,0
83,zvishavane,ZW,2022-05-27 04:14:37,-20.3267,30.0665,53.17,69,0,3.58,clear sky,0.0,0
